#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 400
# Band-Index    1
   0.07651    -13.742178    -13.742178
   0.05739    -13.745455    -13.745454
   0.03826    -13.760350    -13.760350
   0.01913    -13.787077    -13.787077
   0.00000    -13.779723    -13.779723
 
# Band-Index   17
   0.00000    -13.779604    -13.779604
   0.01913    -13.785474    -13.785474
   0.03826    -13.758981    -13.758980
   0.05739    -13.745271    -13.745271
   0.07651    -13.732453    -13.732453
   0.09564    -13.719115    -13.719114
   0.11477    -13.705162    -13.705161
   0.13390    -13.700234    -13.700234
   0.15303    -13.714190    -13.714190
   0.17216    -13.727499    -13.727499
   0.19129    -13.740068    -13.740068
   0.21042    -13.751708    -13.751708
   0.22954    -13.759775    -13.759774
   0.22954    -13.759775    -13.759774
   0.24059    -13.742350    -13.742350
   0.25163    -13.717932    -13.717931
   0.26267    -13.693824    -13.693824
   0.27371    -13.670065    -13.670064
   0.28476    -13.649688    -13.649688
   0.29580    -13.657341    -13.657340
   0.30684    -13.664809    -13.664809
   0.31788    -13.672084    -13.672084
   0.32892    -13.679160    -13.679160
   0.33997    -13.686031    -13.686031
   0.35101    -13.692690    -13.692690
   0.36205    -13.699127    -13.699126
   0.36205    -13.699127    -13.699126
   0.38414    -13.711034    -13.711034
   0.40622    -13.722327    -13.722327
   0.42831    -13.732659    -13.732659
   0.45040    -13.741998    -13.741998
   0.47249    -13.750317    -13.750317
   0.49458    -13.757593    -13.757593
   0.51666    -13.763801    -13.763801
   0.53875    -13.738869    -13.738869
   0.56084    -13.745099    -13.745099
   0.58293    -13.769751    -13.769751
   0.60501    -13.775970    -13.775969
   0.62710    -13.779604    -13.779604
 
# Band-Index   18
   0.62710    -13.774839    -13.774839
   0.60501    -13.775892    -13.775892
   0.58293    -13.741257    -13.741256
   0.56084    -13.717722    -13.717722
   0.53875    -13.716713    -13.716712
   0.51666    -13.687910    -13.687909
   0.49458    -13.659384    -13.659384
   0.47249    -13.631630    -13.631629
   0.45040    -13.604948    -13.604948
   0.42831    -13.620746    -13.620745
   0.40622    -13.647254    -13.647254
   0.38414    -13.673342    -13.673341
   0.36205    -13.698625    -13.698624
   0.36205    -13.698625    -13.698624
   0.35101    -13.692328    -13.692328
   0.33997    -13.685672    -13.685671
   0.32892    -13.678802    -13.678802
   0.31788    -13.671727    -13.671726
   0.30684    -13.664453    -13.664453
   0.29580    -13.656986    -13.656986
   0.28476    -13.649345    -13.649344
   0.27371    -13.662283    -13.662283
   0.26267    -13.686063    -13.686063
   0.25163    -13.710206    -13.710206
   0.24059    -13.734681    -13.734681
   0.22954    -13.759153    -13.759153
   0.22954    -13.759153    -13.759153
   0.21042    -13.751126    -13.751126
   0.19129    -13.739491    -13.739491
   0.17216    -13.726921    -13.726921
   0.15303    -13.713610    -13.713609
   0.13390    -13.699647    -13.699647
   0.11477    -13.704871    -13.704870
   0.09564    -13.718899    -13.718899
   0.07651    -13.732356    -13.732356
   0.05739    -13.718937    -13.718936
   0.03826    -13.747672    -13.747672
   0.01913    -13.766255    -13.766255
   0.00000    -13.774839    -13.774839
 
# Band-Index   19
   0.00000    -13.774686    -13.774686
   0.01913    -13.766007    -13.766006
   0.03826    -13.746052    -13.746052
   0.05739    -13.707728    -13.707727
   0.07651    -13.695644    -13.695643
   0.09564    -13.673379    -13.673378
   0.11477    -13.685572    -13.685572
   0.13390    -13.690511    -13.690510
   0.15303    -13.675331    -13.675331
   0.17216    -13.659536    -13.659536
   0.19129    -13.643173    -13.643173
   0.21042    -13.626276    -13.626275
   0.22954    -13.608985    -13.608984
   0.22954    -13.608985    -13.608984
   0.24059    -13.617313    -13.617313
   0.25163    -13.625653    -13.625653
   0.26267    -13.633832    -13.633832
   0.27371    -13.641842    -13.641841
   0.28476    -13.646667    -13.646667
   0.29580    -13.623708    -13.623708
