  #K-Path    Energy        Mo         S        Si
# Band-Index    1
    0.230  -13.8394     0.076     0.641     0.000
    0.241  -13.8495     0.075     0.640     0.000
    0.252  -13.8599     0.075     0.644     0.000
    0.263  -13.8703     0.075     0.640     0.000
    0.274  -13.8818     0.080     0.641     0.000
    0.285  -13.8989     0.100     0.635     0.000
    0.296  -13.9228     0.115     0.622     0.000
    0.307  -13.9484     0.120     0.630     0.000
    0.318  -13.9621     0.065     0.643     0.000
    0.329  -13.9595     0.063     0.643     0.000
    0.340  -13.9567     0.065     0.636     0.000
    0.351  -13.9539     0.066     0.640     0.000
    0.362  -13.9520     0.062     0.640     0.000
    0.362  -13.9520     0.062     0.640     0.000
    0.384  -13.9617     0.063     0.640     0.000
    0.406  -13.9746     0.061     0.638     0.000
    0.428  -13.9489     0.117     0.626     0.000
    0.450  -13.9099     0.097     0.630     0.000
    0.472  -13.8926     0.075     0.637     0.000
    0.495  -13.8784     0.075     0.642     0.000
    0.517  -13.8634     0.075     0.641     0.000
    0.539  -13.8475     0.075     0.641     0.000
    0.561  -13.8306     0.077     0.641     0.000
    0.583  -13.8128     0.075     0.639     0.000
    0.605  -13.8043     0.115     0.638     0.000
    0.627  -13.8309     0.117     0.631     0.000
 
# Band-Index   14
    0.627  -13.8309     0.114     0.629     0.000
    0.605  -13.7992     0.110     0.640     0.000
    0.583  -13.7806     0.078     0.642     0.000
    0.561  -13.7736     0.080     0.646     0.000
    0.539  -13.7691     0.080     0.640     0.000
    0.517  -13.7799     0.092     0.639     0.000
    0.495  -13.8213     0.082     0.641     0.000
    0.472  -13.8631     0.075     0.645     0.000
    0.450  -13.9035     0.073     0.646     0.000
    0.428  -13.9209     0.071     0.642     0.000
    0.406  -13.9316     0.071     0.642     0.000
    0.384  -13.9406     0.071     0.639     0.000
    0.362  -13.9448     0.071     0.640     0.000
    0.362  -13.9448     0.071     0.640     0.000
    0.351  -13.9476     0.075     0.643     0.000
    0.340  -13.9508     0.082     0.645     0.000
    0.329  -13.9538     0.110     0.631     0.000
    0.318  -13.9564     0.110     0.629     0.000
    0.307  -13.9394     0.110     0.628     0.000
    0.296  -13.9132     0.115     0.628     0.000
    0.285  -13.8873     0.117     0.622     0.000
    0.274  -13.8660     0.065     0.635     0.000
    0.263  -13.8420     0.066     0.633     0.000
    0.252  -13.8175     0.064     0.635     0.000
    0.241  -13.8282     0.067     0.635     0.000
