    # Energy          Mo           S          Si           C           O
   -14.54552     0.76792     3.72918     0.00019     0.00001     0.00003
   -14.54252     0.80007     3.88660     0.00020     0.00001     0.00003
   -14.53952     0.93695     4.55320     0.00023     0.00001     0.00003
   -14.53652     0.95714     4.65318     0.00024     0.00001     0.00003
   -14.53352     0.97177     4.72610     0.00024     0.00001     0.00003
   -14.53052     0.98638     4.79920     0.00024     0.00001     0.00003
   -14.52752     1.00097     4.87209     0.00025     0.00001     0.00003
   -14.52452     1.01559     4.94528     0.00025     0.00001     0.00004
   -14.52152     1.03021     5.01820     0.00025     0.00001     0.00004
   -14.51852     0.90875     4.43144     0.00022     0.00001     0.00003
   -14.51552     0.90784     4.42825     0.00022     0.00001     0.00003
   -14.51252     0.90688     4.42504     0.00022     0.00001     0.00003
   -14.50952     0.90803     4.43230     0.00022     0.00001     0.00003
   -14.50652     0.90957     4.44148     0.00022     0.00001     0.00003
   -14.50352     0.90908     4.44070     0.00022     0.00001     0.00003
   -14.50052     0.90007     4.39875     0.00022     0.00001     0.00003
   -14.49752     0.89271     4.36487     0.00022     0.00001     0.00003
   -14.49452     0.88826     4.34508     0.00022     0.00001     0.00003
   -14.49152     0.88316     4.32243     0.00022     0.00001     0.00003
   -14.48852     0.87814     4.29984     0.00021     0.00001     0.00003
   -14.48552     0.87305     4.27718     0.00021     0.00001     0.00003
   -14.48252     0.86804     4.25458     0.00021     0.00001     0.00003
   -14.47952     0.86295     4.23199     0.00021     0.00001     0.00003
   -14.47652     0.85789     4.20931     0.00021     0.00001     0.00003
   -14.47352     0.85670     4.20536     0.00021     0.00001     0.00003
   -14.47052     0.86105     4.22846     0.00021     0.00001     0.00003
   -14.46752     0.86612     4.25472     0.00021     0.00001     0.00003
   -14.46452     0.87117     4.28101     0.00021     0.00001     0.00003
   -14.46152     1.43296     7.04631     0.00035     0.00002     0.00006
   -14.45852     1.22787     6.04104     0.00030     0.00002     0.00005
   -14.45552     1.34662     6.62754     0.00033     0.00002     0.00005
   -14.45252     1.46538     7.21416     0.00035     0.00002     0.00006
   -14.44952     1.05388     5.19101     0.00025     0.00001     0.00004
   -14.44652     1.03010     5.07609     0.00025     0.00001     0.00004
