  #K-Path    Energy        Mo         S        Si         C         O
# Band-Index    1
    0.362  -14.4986     0.123     0.585     0.000     0.000     0.000
    0.362  -14.4986     0.123     0.586     0.000     0.000     0.000
    0.351  -14.5240     0.125     0.587     0.000     0.000     0.000
    0.340  -14.5496     0.125     0.587     0.000     0.000     0.000
    0.329  -14.5750     0.125     0.588     0.000     0.000     0.000
    0.318  -14.5999     0.125     0.589     0.000     0.000     0.000
    0.307  -14.6246     0.125     0.591     0.000     0.000     0.000
    0.296  -14.6488     0.125     0.592     0.000     0.000     0.000
    0.285  -14.6727     0.125     0.592     0.000     0.000     0.000
    0.274  -14.6962     0.125     0.593     0.000     0.000     0.000
    0.263  -14.7193     0.125     0.594     0.000     0.000     0.000
    0.252  -14.7419     0.125     0.597     0.000     0.000     0.000
    0.241  -14.7641     0.125     0.597     0.000     0.000     0.000
    0.230  -14.7852     0.123     0.596     0.000     0.000     0.000
    0.230  -14.7852     0.123     0.596     0.000     0.000     0.000
    0.210  -14.7843     0.120     0.597     0.000     0.000     0.000
    0.191  -14.7817     0.120     0.597     0.000     0.000     0.000
    0.172  -14.7772     0.120     0.596     0.000     0.000     0.000
    0.153  -14.7710     0.120     0.596     0.000     0.000     0.000
    0.134  -14.7630     0.121     0.596     0.000     0.000     0.000
    0.115  -14.7532     0.122     0.596     0.000     0.000     0.000
    0.096  -14.7417     0.123     0.595     0.000     0.000     0.000
    0.077  -14.7285     0.122     0.593     0.000     0.000     0.000
    0.057  -14.7136     0.122     0.593     0.000     0.000     0.000
    0.038  -14.6969     0.121     0.589     0.000     0.000     0.000
    0.019  -14.6783     0.124     0.591     0.000     0.000     0.000
    0.000  -14.6627     0.124     0.591     0.000     0.000     0.000
 
# Band-Index    7
    0.000  -14.6562     0.124     0.590     0.000     0.000     0.000
    0.019  -14.6390     0.122     0.596     0.000     0.000     0.000
    0.038  -14.6159     0.127     0.595     0.000     0.000     0.000
    0.057  -14.5914     0.125     0.594     0.000     0.000     0.000
    0.077  -14.5654     0.123     0.596     0.000     0.000     0.000
    0.096  -14.5381     0.122     0.599     0.000     0.000     0.000
    0.115  -14.5093     0.120     0.598     0.000     0.000     0.000
    0.134  -14.4792     0.120     0.600     0.000     0.000     0.000
    0.153  -14.4478     0.120     0.598     0.000     0.000     0.000
    0.172  -14.4152     0.120     0.600     0.000     0.000     0.000
    0.191  -14.3814     0.120     0.603     0.000     0.000     0.000
    0.210  -14.3466     0.120     0.606     0.000     0.000     0.000
    0.230  -14.3110     0.120     0.605     0.000     0.000     0.000
    0.230  -14.3110     0.120     0.605     0.000     0.000     0.000
    0.241  -14.3283     0.121     0.609     0.000     0.000     0.000
    0.252  -14.3457     0.122     0.605     0.000     0.000     0.000
    0.263  -14.3628     0.122     0.606     0.000     0.000     0.000
    0.274  -14.3795     0.122     0.603     0.000     0.000     0.000
    0.285  -14.3959     0.122     0.602     0.000     0.000     0.000
    0.296  -14.4118     0.123     0.601     0.000     0.000     0.000
    0.307  -14.4273     0.123     0.600     0.000     0.000     0.000
    0.318  -14.4424     0.124     0.600     0.000     0.000     0.000
    0.329  -14.4570     0.124     0.598     0.000     0.000     0.000
    0.340  -14.4712     0.124     0.597     0.000     0.000     0.000
    0.351  -14.4850     0.124     0.596     0.000     0.000     0.000
    0.362  -14.4981     0.122     0.601     0.000     0.000     0.000
    0.362  -14.4981     0.122     0.601     0.000     0.000     0.000
    0.384  -14.5228     0.122     0.599     0.000     0.000     0.000
    0.406  -14.5460     0.123     0.597     0.000     0.000     0.000
    0.428  -14.5672     0.123     0.594     0.000     0.000     0.000
    0.450  -14.5863     0.124     0.593     0.000     0.000     0.000
    0.472  -14.6033     0.124     0.592     0.000     0.000     0.000
    0.495  -14.6181     0.124     0.592     0.000     0.000     0.000
    0.517  -14.6306     0.125     0.593     0.000     0.000     0.000
