    # Energy          Mo          Au           S          Si           C           O
   -14.23782     2.39249     0.02839    19.73417     0.39541     0.00004     0.00011
   -14.23482     4.37833     0.05824    36.46326     0.75945     0.00006     0.00016
   -14.23182     2.65390     0.03582    21.68186     0.48832     0.00004     0.00010
   -14.22882     1.99445     0.03068    16.31591     0.38812     0.00002     0.00005
   -14.22582     1.45039     0.02305    11.83418     0.29983     0.00001     0.00003
   -14.22282     1.18650     0.01816     9.66577     0.25781     0.00001     0.00002
   -14.21982     1.11458     0.01700     9.07560     0.24903     0.00001     0.00002
   -14.21682     1.06158     0.01597     8.64223     0.24343     0.00000     0.00001
   -14.21382     1.10579     0.01559     8.99821     0.26069     0.00000     0.00001
   -14.21082     2.89303     0.02283    23.34242     0.68052     0.00001     0.00003
   -14.20782     2.76975     0.02432    22.43422     0.67279     0.00001     0.00002
   -14.20482     2.08458     0.01994    16.86703     0.50627     0.00001     0.00002
   -14.20182     1.77812     0.01711    14.33970     0.42725     0.00001     0.00002
   -14.19882     1.29561     0.01240    10.35961     0.30255     0.00001     0.00001
   -14.19582     0.74471     0.00715     5.84577     0.16277     0.00000     0.00001
   -14.19282     0.59774     0.00588     4.60211     0.12310     0.00000     0.00000
   -14.18982     0.57278     0.00568     4.36636     0.11457     0.00000     0.00000
   -14.18682     0.63165     0.00624     4.82027     0.12707     0.00000     0.00000
   -14.18382     0.69053     0.00677     5.27436     0.13960     0.00000     0.00000
   -14.18082     0.84905     0.00770     6.60090     0.17949     0.00000     0.00001
   -14.17782     1.31787     0.01103    10.08611     0.26380     0.00000     0.00001
   -14.17482     1.25038     0.01026     9.65164     0.25658     0.00000     0.00001
   -14.17182     1.19136     0.00964     9.28745     0.25147     0.00000     0.00001
   -14.16882     1.25189     0.00997     9.80326     0.26670     0.00000     0.00001
   -14.16582     1.35387     0.01054    10.64502     0.29025     0.00000     0.00001
   -14.16282     1.62794     0.01218    12.89691     0.35308     0.00001     0.00002
   -14.15982     2.10590     0.01593    16.72378     0.45412     0.00001     0.00002
   -14.15682     1.68097     0.01295    13.36016     0.36146     0.00001     0.00002
   -14.15382     1.52233     0.01196    12.06420     0.32339     0.00001     0.00003
   -14.15082     1.86110     0.01505    14.69079     0.38734     0.00002     0.00006
   -14.14782     1.30392     0.01036    10.24594     0.26603     0.00001     0.00003
   -14.14482     1.18780     0.00958     9.32303     0.24038     0.00001     0.00002
   -14.14182     0.91074     0.00730     7.14066     0.18325     0.00001     0.00002
   -14.13882     0.70188     0.00564     5.49356     0.14001     0.00000     0.00001
   -14.13582     0.67357     0.00554     5.28188     0.13483     0.00000     0.00001
   -14.13282     0.67834     0.00568     5.34385     0.13735     0.00000     0.00001
   -14.12982     0.68135     0.00577     5.40599     0.14062     0.00001     0.00001
   -14.12682     0.36588     0.00321     2.90217     0.07514     0.00000     0.00001
   -14.12382     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.12082     0.36298     0.03990     3.10468     0.04208     0.00003     0.00009
   -14.11782     1.75606     0.07633    14.73888     0.31521     0.00006     0.00015
   -14.11482     2.37592     0.09800    19.94252     0.43707     0.00007     0.00020
   -14.11182     3.01190     0.11882    25.95681     0.60362     0.00011     0.00029
   -14.10882     4.34881     0.16889    37.57318     0.88887     0.00016     0.00041
   -14.10582     7.23278     0.29888    62.79637     1.48304     0.00027     0.00070
   -14.10282     4.45207     0.13057    38.04832     0.94071     0.00012     0.00032
   -14.09982     1.15231     0.05545     9.78847     0.22529     0.00004     0.00011
