    # Energy          Mo          Au           S          Si           C           O
   -14.53782    -1.08119    -0.01251    -7.58230    -0.20341    -0.00000    -0.00001
   -14.53482    -0.95766    -0.01051    -6.73491    -0.18150    -0.00000    -0.00001
   -14.53182    -0.81542    -0.00825    -5.75684    -0.15613    -0.00000    -0.00001
   -14.52882    -0.64667    -0.00580    -4.58788    -0.12548    -0.00000    -0.00001
   -14.52582    -0.86441    -0.00592    -6.17589    -0.16989    -0.00000    -0.00001
   -14.52282    -0.66704    -0.00394    -4.79815    -0.13354    -0.00000    -0.00000
   -14.51982    -0.49043    -0.00297    -3.54534    -0.09965    -0.00000    -0.00000
   -14.51682    -0.45643    -0.00284    -3.30025    -0.09286    -0.00000    -0.00000
   -14.51382    -0.57043    -0.00391    -4.10268    -0.11412    -0.00000    -0.00001
   -14.51082    -0.58907    -0.00417    -4.23301    -0.11749    -0.00000    -0.00001
   -14.50782    -0.60778    -0.00444    -4.36287    -0.12083    -0.00000    -0.00001
   -14.50482    -0.62649    -0.00471    -4.49318    -0.12418    -0.00000    -0.00001
   -14.50182    -0.64523    -0.00499    -4.62314    -0.12751    -0.00000    -0.00001
   -14.49882    -0.66452    -0.00529    -4.75699    -0.13093    -0.00000    -0.00001
   -14.49582    -0.68952    -0.00574    -4.93315    -0.13558    -0.00000    -0.00001
   -14.49282    -0.70031    -0.00604    -5.01460    -0.13796    -0.00000    -0.00001
   -14.48982    -0.71231    -0.00636    -5.10498    -0.14058    -0.00000    -0.00001
   -14.48682    -0.76354    -0.00717    -5.46525    -0.15008    -0.00000    -0.00001
   -14.48382    -0.83511    -0.00823    -5.96662    -0.16329    -0.00000    -0.00001
   -14.48082    -0.90664    -0.00935    -6.46777    -0.17648    -0.00000    -0.00001
   -14.47782    -0.91285    -0.00948    -6.51486    -0.17782    -0.00000    -0.00001
   -14.47482    -1.01921    -0.01095    -7.29463    -0.19999    -0.00000    -0.00001
   -14.47182    -1.18296    -0.01270    -8.47902    -0.23322    -0.00000    -0.00001
   -14.46882    -1.27840    -0.01393    -9.16543    -0.25200    -0.00000    -0.00001
   -14.46582    -1.37392    -0.01523    -9.85219    -0.27074    -0.00000    -0.00001
   -14.46282    -1.57829    -0.01798   -11.32742    -0.31146    -0.00000    -0.00001
   -14.45982    -1.65800    -0.01885   -11.92793    -0.32940    -0.00000    -0.00001
   -14.45682    -1.16393    -0.01106    -8.40547    -0.23378    -0.00000    -0.00001
   -14.45382    -0.89475    -0.00647    -6.48752    -0.18176    -0.00000    -0.00001
   -14.45082    -0.75120    -0.00512    -5.46298    -0.15390    -0.00000    -0.00001
   -14.44782    -0.60803    -0.00389    -4.43786    -0.12586    -0.00000    -0.00000
   -14.44482    -0.87618    -0.00405    -6.42821    -0.18383    -0.00000    -0.00001
   -14.44182    -0.23378    -0.00197    -1.72166    -0.04974    -0.00000    -0.00000
   -14.43882    -0.22948    -0.00190    -1.69241    -0.04900    -0.00000    -0.00000
   -14.43582    -0.22518    -0.00183    -1.66319    -0.04827    -0.00000    -0.00000
   -14.43282    -0.22090    -0.00176    -1.63395    -0.04753    -0.00000    -0.00000
   -14.42982    -0.21661    -0.00169    -1.60469    -0.04679    -0.00000    -0.00000
   -14.42682    -0.21233    -0.00163    -1.57543    -0.04605    -0.00000    -0.00000
   -14.42382    -0.21978    -0.00167    -1.63558    -0.04791    -0.00000    -0.00000
   -14.42082    -0.24590    -0.00189    -1.83848    -0.05393    -0.00000    -0.00000
   -14.41782    -0.26915    -0.00204    -2.02269    -0.05955    -0.00000    -0.00000
   -14.41482    -0.29154    -0.00217    -2.20074    -0.06503    -0.00000    -0.00000
   -14.41182    -0.31887    -0.00245    -2.41049    -0.07118    -0.00000    -0.00000
   -14.40882    -0.34623    -0.00274    -2.62050    -0.07731    -0.00000    -0.00000
   -14.40582    -0.39702    -0.00370    -3.00297    -0.08807    -0.00000    -0.00000
   -14.40282    -0.73323    -0.01280    -5.49884    -0.15645    -0.00000    -0.00001
   -14.39982    -1.27680    -0.02699    -9.54761    -0.26799    -0.00000    -0.00001
   -14.39682    -1.68943    -0.03404   -12.62348    -0.35407    -0.00001    -0.00002
   -14.39382    -1.80055    -0.03487   -13.45704    -0.37771    -0.00001    -0.00002
   -14.39082    -1.91081    -0.03543   -14.29160    -0.40171    -0.00001    -0.00002
   -14.38782    -2.12214    -0.03933   -15.85226    -0.44428    -0.00001    -0.00003
   -14.38482    -2.11068    -0.03773   -15.77019    -0.44198    -0.00001    -0.00002
   -14.38182    -2.09454    -0.03595   -15.64960    -0.43850    -0.00001    -0.00002
   -14.37882    -2.04695    -0.03375   -15.29091    -0.42826    -0.00001    -0.00002
   -14.37582    -1.64946    -0.02894   -12.31468    -0.34418    -0.00001    -0.00002
   -14.37282    -1.31674    -0.02404    -9.84496    -0.27591    -0.00001    -0.00001
   -14.36982    -0.97453    -0.01753    -7.36089    -0.21105    -0.00000    -0.00001
   -14.36682    -0.70868    -0.01109    -5.43927    -0.16124    -0.00000    -0.00001
   -14.36382    -0.62601    -0.00926    -4.82696    -0.14439    -0.00000    -0.00001
   -14.36082    -0.55800    -0.00779    -4.32181    -0.13038    -0.00000    -0.00001
   -14.35782    -0.52021    -0.00709    -4.03689    -0.12227    -0.00000    -0.00001
   -14.35482    -0.48487    -0.00643    -3.77083    -0.11471    -0.00000    -0.00001
   -14.35182    -0.45827    -0.00594    -3.57311    -0.10922    -0.00000    -0.00001
   -14.34882    -0.61454    -0.00824    -4.76393    -0.14324    -0.00000    -0.00001
   -14.34582    -0.83398    -0.01146    -6.42949    -0.19027    -0.00000    -0.00001
   -14.34282    -1.14039    -0.01421    -8.74736    -0.25486    -0.00000    -0.00001
   -14.33982    -1.50498    -0.01762   -11.52906    -0.33350    -0.00001    -0.00001
   -14.33682    -1.47303    -0.01908   -11.19124    -0.31847    -0.00000    -0.00001
   -14.33382    -1.94661    -0.02728   -14.65474    -0.40787    -0.00001    -0.00002
   -14.33082    -1.37220    -0.01861   -10.45099    -0.29882    -0.00001    -0.00001
   -14.32782    -1.08130    -0.01341    -8.37402    -0.24797    -0.00000    -0.00001
   -14.32482    -1.07119    -0.01286    -8.32315    -0.24789    -0.00000    -0.00001
   -14.32182    -0.92083    -0.01223    -7.16566    -0.21124    -0.00000    -0.00001
   -14.31882    -0.91268    -0.01184    -7.12201    -0.21080    -0.00001    -0.00001
   -14.31582    -0.92109    -0.01178    -7.20350    -0.21362    -0.00001    -0.00001
   -14.31282    -1.00139    -0.01296    -7.83317    -0.23190    -0.00001    -0.00002
   -14.30982    -1.01232    -0.01294    -7.93402    -0.23529    -0.00001    -0.00002
   -14.30682    -1.00288    -0.01270    -7.88254    -0.23409    -0.00001    -0.00002
   -14.30382    -1.13163    -0.01569    -8.89635    -0.26373    -0.00001    -0.00002
   -14.30082    -1.13067    -0.01515    -8.92380    -0.26517    -0.00001    -0.00002
   -14.29782    -1.12962    -0.01464    -8.95140    -0.26655    -0.00001    -0.00002
   -14.29482    -1.04625    -0.01261    -8.36915    -0.25177    -0.00001    -0.00002
   -14.29182    -1.03217    -0.01181    -8.31306    -0.25122    -0.00001    -0.00003
   -14.28882    -1.02205    -0.01122    -8.27808    -0.25082    -0.00001    -0.00003
   -14.28582    -1.12393    -0.01151    -9.15539    -0.27855    -0.00001    -0.00003
   -14.28282    -1.46664    -0.01369   -12.04897    -0.36776    -0.00001    -0.00004
   -14.27982    -2.39167    -0.03107   -20.12281    -0.57567    -0.00003    -0.00007
   -14.27682    -1.55266    -0.02838   -13.35715    -0.35389    -0.00003    -0.00008
   -14.27382    -1.25138    -0.02306   -10.79619    -0.28419    -0.00003    -0.00007
   -14.27082    -0.90441    -0.02016    -7.73169    -0.19725    -0.00002    -0.00006
   -14.26782    -0.83499    -0.02086    -6.88308    -0.17955    -0.00001    -0.00003
   -14.26482    -1.38326    -0.03442   -11.15072    -0.29512    -0.00001    -0.00003
   -14.26182    -1.78130    -0.04766   -14.33111    -0.36552    -0.00001    -0.00004
   -14.25882    -2.61915    -0.06583   -21.51202    -0.51277    -0.00003    -0.00008
   -14.25582    -4.20628    -0.09793   -35.14778    -0.79720    -0.00007    -0.00017
   -14.25282    -5.24868    -0.11443   -44.48448    -0.97240    -0.00010    -0.00026
   -14.24982    -5.25253    -0.10962   -44.69753    -0.94441    -0.00011    -0.00028
   -14.24682    -1.87270    -0.03786   -15.75455    -0.34073    -0.00003    -0.00008
   -14.24382    -0.41521    -0.00279    -3.44691    -0.09593    -0.00000    -0.00001
   -14.24082    -0.46368    -0.00446    -3.69156    -0.09201    -0.00000    -0.00001
   -14.23782    -2.07463    -0.02450   -17.02697    -0.34257    -0.00004    -0.00010
   -14.23482    -4.30775    -0.05702   -35.82960    -0.74666    -0.00006    -0.00016
   -14.23182    -2.68403    -0.03602   -21.92374    -0.49268    -0.00004    -0.00010
   -14.22882    -2.00412    -0.03068   -16.39594    -0.38955    -0.00002    -0.00006
   -14.22582    -1.46895    -0.02333   -11.98608    -0.30296    -0.00001    -0.00003
   -14.22282    -1.18876    -0.01815    -9.68443    -0.25810    -0.00001    -0.00002
   -14.21982    -1.11711    -0.01700    -9.09570    -0.24937    -0.00001    -0.00002
   -14.21682    -1.06289    -0.01597    -8.65267    -0.24356    -0.00000    -0.00001
   -14.21382    -1.10418    -0.01556    -8.98481    -0.26011    -0.00000    -0.00001
   -14.21082    -2.86731    -0.02258   -23.13091    -0.67343    -0.00001    -0.00004
   -14.20782    -2.79729    -0.02442   -22.65698    -0.67951    -0.00001    -0.00002
   -14.20482    -2.09135    -0.01994   -16.92226    -0.50806    -0.00001    -0.00002
   -14.20182    -1.79287    -0.01722   -14.45880    -0.43113    -0.00001    -0.00002
   -14.19882    -1.30248    -0.01243   -10.41734    -0.30438    -0.00001    -0.00002
   -14.19582    -0.74821    -0.00716    -5.87556    -0.16379    -0.00000    -0.00001
   -14.19282    -0.60310    -0.00591    -4.64693    -0.12452    -0.00000    -0.00000
   -14.18982    -0.57098    -0.00565    -4.35231    -0.11418    -0.00000    -0.00000
   -14.18682    -0.62983    -0.00620    -4.80611    -0.12669    -0.00000    -0.00000
   -14.18382    -0.68873    -0.00674    -5.26013    -0.13921    -0.00000    -0.00000
   -14.18082    -0.84636    -0.00767    -6.57895    -0.17890    -0.00000    -0.00001
   -14.17782    -1.32072    -0.01102   -10.10448    -0.26417    -0.00000    -0.00001
   -14.17482    -1.25219    -0.01024    -9.66241    -0.25674    -0.00000    -0.00001
   -14.17182    -1.19314    -0.00964    -9.29829    -0.25163    -0.00000    -0.00001
   -14.16882    -1.24927    -0.00993    -9.78166    -0.26609    -0.00000    -0.00001
   -14.16582    -1.34805    -0.01049   -10.59612    -0.28892    -0.00000    -0.00001
   -14.16282    -1.61105    -0.01202   -12.76059    -0.34952    -0.00001    -0.00002
   -14.15982    -2.10464    -0.01587   -16.71448    -0.45414    -0.00001    -0.00002
   -14.15682    -1.68614    -0.01295   -13.40223    -0.36268    -0.00001    -0.00002
   -14.15382    -1.52676    -0.01196   -12.09955    -0.32447    -0.00001    -0.00003
   -14.15082    -1.84732    -0.01489   -14.58362    -0.38470    -0.00002    -0.00006
   -14.14782    -1.29626    -0.01025   -10.18599    -0.26462    -0.00001    -0.00003
   -14.14482    -1.19611    -0.00962    -9.38731    -0.24207    -0.00001    -0.00002
   -14.14182    -0.91914    -0.00735    -7.20649    -0.18496    -0.00001    -0.00002
   -14.13882    -0.70447    -0.00564    -5.51301    -0.14051    -0.00000    -0.00001
   -14.13582    -0.67325    -0.00551    -5.27866    -0.13474    -0.00000    -0.00001
   -14.13282    -0.67818    -0.00566    -5.34101    -0.13724    -0.00000    -0.00001
   -14.12982    -0.68136    -0.00575    -5.40369    -0.14050    -0.00001    -0.00001
   -14.12682    -0.38865    -0.00339    -3.08351    -0.07991    -0.00000    -0.00001
   -14.12382     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.12082    -0.35169    -0.03869    -3.00680    -0.04062    -0.00003    -0.00008
   -14.11782    -1.22430    -0.06012    -9.92174    -0.19237    -0.00005    -0.00014
   -14.11482    -2.36314    -0.09652   -19.81987    -0.43458    -0.00007    -0.00019
   -14.11182    -2.96891    -0.11605   -25.57423    -0.59519    -0.00011    -0.00028
   -14.10882    -4.25057    -0.16471   -36.72465    -0.86873    -0.00015    -0.00040
   -14.10582    -5.90915    -0.21909   -51.00684    -1.21702    -0.00020    -0.00053
   -14.10282    -4.93172    -0.15560   -42.27821    -1.03799    -0.00015    -0.00038
   -14.09982    -1.15708    -0.05568    -9.82836    -0.22599    -0.00004    -0.00011
   -14.09682    -1.05915    -0.04947    -9.03047    -0.21306    -0.00004    -0.00010
   -14.09382    -0.34965    -0.02243    -2.92936    -0.05785    -0.00002    -0.00004
   -14.09082    -0.55038    -0.02117    -4.68472    -0.10513    -0.00003    -0.00007
   -14.08782    -1.94132    -0.04632   -16.56686    -0.41227    -0.00008    -0.00021
   -14.08482    -1.95172    -0.04367   -16.67098    -0.42255    -0.00008    -0.00020
   -14.08182    -1.59351    -0.03963   -13.51580    -0.33196    -0.00006    -0.00015
