#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 416
# Band-Index    1
   0.01913    -13.873529    -13.873555
   0.03826    -13.914904    -13.914930
   0.05738    -13.956305    -13.956330
   0.07651    -13.997601    -13.997626
   0.09564    -14.027521    -14.027548
   0.11477    -14.022197    -14.022224
   0.13390    -14.015902    -14.015929
   0.15303    -14.008667    -14.008693
   0.17215    -14.000510    -14.000536
   0.19128    -14.015025    -14.015051
   0.21041    -14.062584    -14.062609
   0.22954    -14.110295    -14.110321
   0.22954    -14.110295    -14.110321
   0.24058    -14.110056    -14.110081
   0.25162    -14.109335    -14.109361
   0.26266    -14.108135    -14.108161
   0.27371    -14.106455    -14.106481
   0.28475    -14.104296    -14.104322
   0.29579    -14.101657    -14.101683
   0.30683    -14.098538    -14.098563
   0.31787    -14.094930    -14.094956
   0.32892    -14.090819    -14.090845
   0.33996    -14.086150    -14.086176
   0.35100    -14.080669    -14.080695
   0.36204    -14.072720    -14.072746
   0.36204    -14.072720    -14.072746
   0.38413    -14.065064    -14.065089
   0.40621    -14.050957    -14.050983
   0.42830    -14.035354    -14.035379
   0.45039    -14.018176    -14.018201
   0.47247    -13.999590    -13.999616
   0.49456    -13.979413    -13.979439
   0.51665    -13.957842    -13.957868
   0.53873    -13.934973    -13.934999
   0.56082    -13.910905    -13.910931
   0.58291    -13.885756    -13.885782
   0.60499    -13.859660    -13.859686
   0.62708    -13.833478    -13.833504
 
# Band-Index   12
   0.62708    -13.833241    -13.833267
   0.60499    -13.859528    -13.859554
   0.58291    -13.885627    -13.885653
   0.56082    -13.910774    -13.910800
   0.53873    -13.934838    -13.934864
   0.51665    -13.957704    -13.957730
   0.49456    -13.979272    -13.979298
   0.47247    -13.999443    -13.999469
   0.45039    -13.998407    -13.998434
   0.42830    -13.987609    -13.987636
   0.40621    -13.992295    -13.992321
   0.38413    -14.034252    -14.034277
   0.36204    -14.072395    -14.072420
   0.36204    -14.072395    -14.072420
   0.35100    -14.054714    -14.054739
   0.33996    -14.028335    -14.028361
   0.32892    -14.002018    -14.002044
   0.31787    -13.975817    -13.975843
   0.30683    -13.965740    -13.965766
   0.29579    -13.967758    -13.967785
   0.28475    -13.969472    -13.969498
   0.27371    -13.970878    -13.970905
   0.26266    -13.971974    -13.972001
   0.25162    -13.972757    -13.972784
   0.24058    -13.973228    -13.973254
   0.22954    -13.973384    -13.973411
   0.22954    -13.973384    -13.973411
   0.21041    -13.981641    -13.981668
   0.19128    -13.991464    -13.991491
   0.17215    -13.968046    -13.968072
   0.15303    -13.923939    -13.923965
   0.13390    -13.903804    -13.903831
   0.11477    -13.887721    -13.887748
   0.09564    -13.871108    -13.871135
   0.07651    -13.853854    -13.853881
   0.05738    -13.835984    -13.836011
   0.03826    -13.831393    -13.831419
   0.01913    -13.832698    -13.832724
   0.00000    -13.833241    -13.833267
 
# Band-Index   13
   0.00000    -13.832153    -13.832180
   0.01913    -13.831931    -13.831956
   0.03826    -13.830609    -13.830635
   0.05738    -13.829310    -13.829336
   0.07651    -13.826764    -13.826790
   0.09564    -13.825137    -13.825163
   0.11477    -13.829971    -13.829997
   0.13390    -13.874448    -13.874474
   0.15303    -13.915223    -13.915250
   0.17215    -13.931973    -13.932000
   0.19128    -13.945589    -13.945616
   0.21041    -13.958092    -13.958118
   0.22954    -13.967237    -13.967264
   0.22954    -13.967237    -13.967264
   0.24058    -13.967080    -13.967106
   0.25162    -13.966606    -13.966633
   0.26266    -13.965819    -13.965846
   0.27371    -13.964716    -13.964743
   0.28475    -13.963300    -13.963327
   0.29579    -13.961573    -13.961600
   0.30683    -13.959538    -13.959565
   0.31787    -13.966396    -13.966422
   0.32892    -13.992756    -13.992782
   0.33996    -14.019177    -14.019203
   0.35100    -14.045628    -14.045654
   0.36204    -14.071694    -14.071719
   0.36204    -14.071694    -14.071719
   0.38413    -14.033901    -14.033927
   0.40621    -13.992013    -13.992039
   0.42830    -13.950175    -13.950201
   0.45039    -13.913492    -13.913518
   0.47247    -13.898825    -13.898851
   0.49456    -13.884824    -13.884850
   0.51665    -13.869885    -13.869911
   0.53873    -13.853944    -13.853971
   0.56082    -13.837018    -13.837045
   0.58291    -13.819132    -13.819159
   0.60499    -13.805562    -13.805588
   0.62708    -13.832153    -13.832180
 
# Band-Index   14
   0.62708    -13.831845    -13.831871
   0.60499    -13.805348    -13.805374
   0.58291    -13.813773    -13.813800
   0.56082    -13.831558    -13.831584
   0.53873    -13.848439    -13.848466
   0.51665    -13.864370    -13.864396
   0.49456    -13.879337    -13.879363
   0.47247    -13.893487    -13.893514
   0.45039    -13.910784    -13.910810
   0.42830    -13.949903    -13.949929
   0.40621    -13.975659    -13.975686
   0.38413    -13.962781    -13.962807
   0.36204    -13.952989    -13.953016
   0.36204    -13.952989    -13.953016
   0.35100    -13.955031    -13.955057
   0.33996    -13.957979    -13.958005
   0.32892    -13.960822    -13.960849
   0.31787    -13.963416    -13.963443
   0.30683    -13.949812    -13.949838
   0.29579    -13.924277    -13.924302
   0.28475    -13.900366    -13.900392
   0.27371    -13.883005    -13.883031
   0.26266    -13.871438    -13.871464
   0.25162    -13.860931    -13.860958
   0.24058    -13.850518    -13.850545
   0.22954    -13.840613    -13.840639
   0.22954    -13.840613    -13.840639
   0.21041    -13.840198    -13.840225
   0.19128    -13.838960    -13.838986
   0.17215    -13.836915    -13.836941
   0.15303    -13.834109    -13.834136
   0.13390    -13.830665    -13.830692
   0.11477    -13.827037    -13.827063
   0.09564    -13.823839    -13.823865
   0.07651    -13.825775    -13.825801
   0.05738    -13.828437    -13.828463
   0.03826    -13.817491    -13.817517
   0.01913    -13.798689    -13.798716
   0.00000    -13.831845    -13.831871
 
# Band-Index   15
   0.00000    -13.831670    -13.831696
   0.01913    -13.793102    -13.793128
   0.03826    -13.796628    -13.796655
   0.05738    -13.804271    -13.804298
   0.07651    -13.810643    -13.810669
   0.09564    -13.814337    -13.814364
   0.11477    -13.825327    -13.825353
   0.13390    -13.829239    -13.829266
   0.15303    -13.832746    -13.832773
   0.17215    -13.835588    -13.835615
   0.19128    -13.837655    -13.837681
   0.21041    -13.838905    -13.838931
   0.22954    -13.839323    -13.839349
   0.22954    -13.839323    -13.839349
   0.24058    -13.829252    -13.829279
   0.25162    -13.818543    -13.818569
   0.26266    -13.843226    -13.843252
   0.27371    -13.867075    -13.867101
   0.28475    -13.887918    -13.887944
   0.29579    -13.913920    -13.913946
   0.30683    -13.940100    -13.940126
   0.31787    -13.957181    -13.957208
   0.32892    -13.954538    -13.954565
   0.33996    -13.951612    -13.951639
   0.35100    -13.948494    -13.948521
   0.36204    -13.946543    -13.946570
   0.36204    -13.946543    -13.946570
   0.38413    -13.941751    -13.941778
   0.40621    -13.932689    -13.932716
   0.42830    -13.922039    -13.922066
   0.45039    -13.904638    -13.904664
   0.47247    -13.864237    -13.864263
   0.49456    -13.822407    -13.822433
   0.51665    -13.781001    -13.781027
   0.53873    -13.770031    -13.770057
   0.56082    -13.774484    -13.774510
   0.58291    -13.781639    -13.781665
   0.60499    -13.800330    -13.800356
   0.62708    -13.831670    -13.831696
 
# Band-Index   16
   0.62708    -13.782013    -13.782039
   0.60499    -13.795174    -13.795200
   0.58291    -13.781057    -13.781083
   0.56082    -13.774179    -13.774206
   0.53873    -13.769816    -13.769842
   0.51665    -13.780618    -13.780644
   0.49456    -13.821995    -13.822021
   0.47247    -13.863679    -13.863705
   0.45039    -13.901447    -13.901474
   0.42830    -13.916372    -13.916399
   0.40621    -13.927100    -13.927126
   0.38413    -13.936395    -13.936422
   0.36204    -13.943207    -13.943234
   0.36204    -13.943207    -13.943234
   0.35100    -13.938762    -13.938788
   0.33996    -13.931331    -13.931357
   0.32892    -13.923270    -13.923297
   0.31787    -13.914787    -13.914814
   0.30683    -13.905871    -13.905898
   0.29579    -13.896318    -13.896345
   0.28475    -13.884943    -13.884969
   0.27371    -13.861907    -13.861933
   0.26266    -13.836188    -13.836214
   0.25162    -13.818124    -13.818150
   0.24058    -13.793253    -13.793279
   0.22954    -13.768509    -13.768535
   0.22954    -13.768509    -13.768535
   0.21041    -13.775685    -13.775712
   0.19128    -13.784901    -13.784927
   0.17215    -13.793452    -13.793478
   0.15303    -13.801111    -13.801138
   0.13390    -13.807705    -13.807731
   0.11477    -13.812747    -13.812774
   0.09564    -13.813706    -13.813732
   0.07651    -13.809610    -13.809636
   0.05738    -13.803002    -13.803028
   0.03826    -13.795112    -13.795139
   0.01913    -13.791890    -13.791916
   0.00000    -13.782013    -13.782039
 
# Band-Index   17
   0.00000    -13.780760    -13.780787
   0.01913    -13.788011    -13.788038
   0.03826    -13.760681    -13.760708
   0.05738    -13.746104    -13.746130
   0.07651    -13.743233    -13.743260
   0.09564    -13.785859    -13.785886
   0.11477    -13.812322    -13.812348
   0.13390    -13.807236    -13.807262
   0.15303    -13.800607    -13.800633
   0.17215    -13.792931    -13.792957
   0.19128    -13.784380    -13.784406
   0.21041    -13.775200    -13.775226
   0.22954    -13.768198    -13.768224
   0.22954    -13.768198    -13.768224
   0.24058    -13.785358    -13.785384
   0.25162    -13.810659    -13.810685
   0.26266    -13.807310    -13.807337
   0.27371    -13.796052    -13.796078
   0.28475    -13.784604    -13.784631
   0.29579    -13.772973    -13.772999
   0.30683    -13.761163    -13.761189
