  #K-Path    Energy        Mo        Au         S        Si         C         O
# Band-Index    1
    0.493  -14.4860     0.082     0.001     0.610     0.015     0.000     0.000
    0.515  -14.4515     0.082     0.001     0.615     0.017     0.000     0.000
    0.537  -14.4156     0.082     0.000     0.618     0.017     0.000     0.000
    0.559  -14.3825     0.082     0.000     0.618     0.018     0.000     0.000
    0.581  -14.3552     0.081     0.000     0.626     0.019     0.000     0.000
    0.603  -14.3373     0.079     0.000     0.624     0.020     0.000     0.000
    0.625  -14.3311     0.079     0.000     0.628     0.020     0.000     0.000
 
# Band-Index   10
    0.625  -14.2972     0.067     0.001     0.614     0.013     0.000     0.000
    0.603  -14.2990     0.073     0.000     0.620     0.016     0.000     0.000
    0.581  -14.3080     0.077     0.001     0.626     0.021     0.000     0.000
    0.559  -14.3200     0.075     0.001     0.621     0.018     0.000     0.000
    0.537  -14.3330     0.077     0.001     0.619     0.015     0.000     0.000
    0.515  -14.3467     0.075     0.001     0.615     0.015     0.000     0.000
    0.493  -14.3606     0.077     0.002     0.610     0.016     0.000     0.000
    0.471  -14.3745     0.076     0.002     0.610     0.016     0.000     0.000
    0.449  -14.3888     0.081     0.002     0.609     0.015     0.000     0.000
    0.426  -14.4045     0.083     0.003     0.604     0.016     0.000     0.000
    0.404  -14.4219     0.084     0.003     0.605     0.014     0.000     0.000
    0.382  -14.4402     0.086     0.002     0.606     0.012     0.000     0.000
    0.360  -14.4497     0.088     0.002     0.611     0.012     0.000     0.000
    0.360  -14.4497     0.088     0.002     0.611     0.012     0.000     0.000
    0.349  -14.4417     0.088     0.002     0.609     0.011     0.000     0.000
    0.338  -14.4275     0.087     0.002     0.609     0.011     0.000     0.000
    0.327  -14.4122     0.087     0.002     0.607     0.012     0.000     0.000
    0.316  -14.3975     0.087     0.002     0.612     0.014     0.000     0.000
    0.305  -14.3847     0.086     0.002     0.609     0.014     0.000     0.000
    0.294  -14.3765     0.082     0.001     0.612     0.015     0.000     0.000
    0.283  -14.3752     0.080     0.001     0.613     0.018     0.000     0.000
    0.272  -14.3766     0.077     0.001     0.613     0.016     0.000     0.000
    0.261  -14.3783     0.077     0.000     0.615     0.016     0.000     0.000
    0.250  -14.3797     0.078     0.000     0.613     0.016     0.000     0.000
    0.239  -14.3806     0.081     0.000     0.609     0.018     0.000     0.000
    0.228  -14.3809     0.077     0.000     0.610     0.018     0.000     0.000
    0.228  -14.3809     0.077     0.000     0.610     0.018     0.000     0.000
    0.209  -14.3950     0.078     0.000     0.609     0.017     0.000     0.000
    0.190  -14.4172     0.078     0.000     0.609     0.017     0.000     0.000
    0.171  -14.4314     0.077     0.001     0.613     0.018     0.000     0.000
    0.152  -14.4281     0.079     0.001     0.614     0.017     0.000     0.000
    0.133  -14.4109     0.081     0.001     0.620     0.016     0.000     0.000
    0.114  -14.3883     0.078     0.001     0.622     0.016     0.000     0.000
    0.095  -14.3646     0.078     0.001     0.620     0.018     0.000     0.000
    0.076  -14.3419     0.079     0.001     0.623     0.017     0.000     0.000
    0.057  -14.3219     0.078     0.001     0.624     0.020     0.000     0.000
