  #K-Path    Energy        Mo        Au         S        Si
# Band-Index    1
    0.515  -14.3461     0.079     0.001     0.622     0.018
    0.537  -14.3324     0.079     0.001     0.620     0.017
    0.559  -14.3194     0.078     0.001     0.624     0.020
    0.581  -14.3074     0.077     0.001     0.623     0.019
    0.603  -14.2988     0.070     0.000     0.620     0.015
    0.625  -14.2974     0.067     0.001     0.613     0.013
 
# Band-Index   10
    0.625  -14.2896     0.076     0.002     0.626     0.020
    0.603  -14.2929     0.071     0.002     0.622     0.014
    0.581  -14.2957     0.068     0.002     0.612     0.011
    0.559  -14.3020     0.069     0.002     0.619     0.015
    0.537  -14.3146     0.068     0.001     0.613     0.014
    0.515  -14.3299     0.071     0.001     0.617     0.016
    0.493  -14.3457     0.072     0.001     0.621     0.017
    0.471  -14.3610     0.074     0.000     0.623     0.016
    0.449  -14.3734     0.074     0.000     0.624     0.017
    0.426  -14.3772     0.074     0.000     0.623     0.016
    0.404  -14.3674     0.081     0.001     0.618     0.016
    0.382  -14.3522     0.084     0.002     0.612     0.013
    0.360  -14.3462     0.081     0.002     0.611     0.015
    0.360  -14.3462     0.081     0.002     0.611     0.015
    0.349  -14.3469     0.082     0.002     0.608     0.015
    0.338  -14.3496     0.081     0.002     0.611     0.014
    0.327  -14.3533     0.081     0.002     0.609     0.018
    0.316  -14.3570     0.081     0.002     0.609     0.017
    0.305  -14.3598     0.083     0.001     0.613     0.015
    0.294  -14.3590     0.084     0.002     0.610     0.015
    0.283  -14.3531     0.088     0.002     0.611     0.013
    0.272  -14.3466     0.087     0.002     0.612     0.013
    0.261  -14.3419     0.087     0.002     0.612     0.013
    0.250  -14.3391     0.085     0.002     0.607     0.013
    0.239  -14.3378     0.085     0.001     0.611     0.014
    0.228  -14.3374     0.088     0.001     0.609     0.015
    0.228  -14.3374     0.088     0.001     0.609     0.015
    0.209  -14.3236     0.086     0.001     0.612     0.013
    0.190  -14.3022     0.084     0.002     0.612     0.015
    0.171  -14.2893     0.083     0.001     0.611     0.014
    0.152  -14.2860     0.078     0.001     0.616     0.017
    0.133  -14.2857     0.079     0.000     0.612     0.015
    0.114  -14.2864     0.077     0.000     0.615     0.017
    0.095  -14.2879     0.079     0.000     0.621     0.017
