    # Energy          Mo          Au           S          Si
   -13.47609     2.27460     0.03400    14.20343     0.07772
   -13.47309     2.18794     0.03339    13.69291     0.07625
   -13.47009     2.38444     0.03628    14.85813     0.07644
   -13.46709     2.95069     0.04908    18.30113     0.08277
   -13.46409     2.95278     0.05008    18.29513     0.08049
   -13.46109     2.61873     0.04682    16.16014     0.06266
   -13.45809     4.10240     0.09345    25.89789     0.13213
   -13.45509     3.24033     0.07823    20.53287     0.11496
   -13.45209     2.19499     0.05215    14.07829     0.09225
   -13.44909     2.27773     0.05131    14.76005     0.10444
   -13.44609     2.65737     0.05844    17.36900     0.13083
   -13.44309     4.28115     0.08559    28.13218     0.21190
   -13.44009     3.04316     0.05884    19.88997     0.14914
