  #K-Path    Energy        Mo        Au         S        Si
# Band-Index    1
    0.019  -14.3356     0.079     0.000     0.623     0.020
    0.000  -14.3303     0.079     0.000     0.629     0.020
 
# Band-Index    9
    0.000  -14.2973     0.067     0.001     0.615     0.013
    0.019  -14.2975     0.072     0.000     0.621     0.016
    0.038  -14.3057     0.076     0.001     0.624     0.022
    0.057  -14.3213     0.075     0.001     0.621     0.019
    0.076  -14.3414     0.077     0.001     0.617     0.015
    0.095  -14.3642     0.075     0.001     0.613     0.015
    0.114  -14.3879     0.077     0.002     0.610     0.016
    0.133  -14.4105     0.077     0.002     0.609     0.016
    0.152  -14.4277     0.081     0.002     0.607     0.015
    0.171  -14.4310     0.083     0.003     0.605     0.016
    0.190  -14.4168     0.084     0.003     0.605     0.014
    0.209  -14.3946     0.086     0.002     0.604     0.012
    0.228  -14.3806     0.088     0.002     0.610     0.012
    0.228  -14.3806     0.088     0.002     0.610     0.012
    0.239  -14.3803     0.088     0.002     0.609     0.011
    0.250  -14.3794     0.087     0.002     0.609     0.011
    0.261  -14.3780     0.087     0.002     0.609     0.012
    0.272  -14.3763     0.089     0.002     0.609     0.014
    0.283  -14.3748     0.088     0.002     0.607     0.014
    0.294  -14.3761     0.081     0.001     0.611     0.015
    0.305  -14.3841     0.080     0.001     0.611     0.018
    0.316  -14.3969     0.078     0.001     0.613     0.016
    0.327  -14.4116     0.077     0.000     0.615     0.016
    0.338  -14.4269     0.078     0.000     0.615     0.016
    0.349  -14.4413     0.081     0.000     0.607     0.018
    0.360  -14.4494     0.076     0.000     0.611     0.018
    0.360  -14.4494     0.076     0.000     0.611     0.018
    0.382  -14.4397     0.078     0.000     0.610     0.017
    0.404  -14.4214     0.078     0.000     0.610     0.017
    0.426  -14.4041     0.077     0.001     0.615     0.018
    0.449  -14.3883     0.079     0.001     0.615     0.017
    0.471  -14.3739     0.081     0.001     0.620     0.017
    0.493  -14.3599     0.078     0.001     0.622     0.016
    0.515  -14.3460     0.079     0.001     0.621     0.018
    0.537  -14.3323     0.079     0.001     0.619     0.017
    0.559  -14.3193     0.078     0.001     0.624     0.020
    0.581  -14.3073     0.077     0.001     0.623     0.020
    0.603  -14.2987     0.070     0.000     0.620     0.015
    0.625  -14.2973     0.067     0.001     0.615     0.013
 
# Band-Index   10
    0.625  -14.2895     0.075     0.002     0.628     0.020
    0.603  -14.2928     0.071     0.002     0.622     0.014
    0.581  -14.2956     0.068     0.002     0.613     0.011
    0.559  -14.3018     0.069     0.002     0.620     0.015
    0.537  -14.3145     0.068     0.001     0.614     0.014
    0.515  -14.3298     0.071     0.001     0.618     0.016
    0.493  -14.3456     0.072     0.001     0.622     0.017
    0.471  -14.3609     0.074     0.000     0.623     0.016
    0.449  -14.3733     0.074     0.000     0.623     0.017
    0.426  -14.3771     0.074     0.000     0.623     0.016
    0.404  -14.3673     0.081     0.001     0.618     0.016
    0.382  -14.3521     0.084     0.002     0.614     0.013
    0.360  -14.3461     0.081     0.002     0.610     0.015
    0.360  -14.3461     0.081     0.002     0.610     0.015
    0.349  -14.3468     0.082     0.002     0.608     0.015
    0.338  -14.3495     0.081     0.002     0.611     0.014
    0.327  -14.3532     0.081     0.002     0.609     0.018
    0.316  -14.3569     0.081     0.002     0.609     0.017
    0.305  -14.3597     0.083     0.001     0.613     0.015
    0.294  -14.3589     0.084     0.002     0.610     0.015
    0.283  -14.3530     0.089     0.002     0.611     0.013
    0.272  -14.3464     0.087     0.002     0.612     0.013
    0.261  -14.3418     0.087     0.002     0.612     0.013
    0.250  -14.3390     0.085     0.002     0.607     0.013
    0.239  -14.3377     0.085     0.001     0.609     0.014
