    # Energy          Mo          Au           S          Si
   -13.70109    -3.23543    -0.15103   -23.85939    -0.38483
   -13.69809     0.00000     0.00000     0.00000     0.00000
   -13.69509    -0.05941    -0.00091    -0.41826    -0.00559
   -13.69209    -1.52851    -0.02377   -10.70403    -0.14065
   -13.68909    -1.89473    -0.03678   -13.19240    -0.17250
   -13.68609    -3.84785    -0.08202   -26.37012    -0.32204
   -13.68309    -6.78982    -0.11045   -44.39401    -0.40471
   -13.68009    -5.78092    -0.14734   -38.71892    -0.39785
   -13.67709    -5.38952    -0.21189   -38.00881    -0.51350
   -13.67409    -3.04738    -0.14968   -21.58414    -0.26262
   -13.67109    -2.26253    -0.08950   -15.84123    -0.18884
   -13.66809    -1.88375    -0.07312   -13.10983    -0.15613
   -13.66509    -2.05989    -0.07226   -14.16453    -0.16686
   -13.66209    -5.87231    -0.13204   -39.22096    -0.39779
   -13.65909    -2.97850    -0.07860   -19.69017    -0.22313
   -13.65609    -2.73296    -0.08054   -18.07182    -0.20184
   -13.65309    -3.22270    -0.10746   -21.38098    -0.24156
   -13.65009    -4.26775    -0.15726   -28.47771    -0.32973
   -13.64709    -3.18129    -0.13156   -21.35798    -0.25014
   -13.64409    -1.52943    -0.05867   -10.28756    -0.12000
   -13.64109    -2.47281    -0.07305   -16.70241    -0.19297
   -13.63809    -3.70302    -0.12441   -25.03141    -0.24867
   -13.63509    -4.04185    -0.14997   -27.25974    -0.24713
