#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 440
# Band-Index    1
   0.01904    -14.335736    -14.335629
   0.00000    -14.330432    -14.330324
 
# Band-Index    9
   0.00000    -14.297447    -14.297344
   0.01904    -14.297553    -14.297462
   0.03808    -14.305826    -14.305733
   0.05711    -14.321411    -14.321313
   0.07615    -14.341479    -14.341380
   0.09519    -14.364276    -14.364176
   0.11423    -14.388026    -14.387925
   0.13327    -14.410600    -14.410498
   0.15231    -14.427805    -14.427699
   0.17134    -14.431157    -14.431046
   0.19038    -14.416918    -14.416807
   0.20942    -14.394756    -14.394649
   0.22846    -14.380650    -14.380550
   0.22846    -14.380650    -14.380550
   0.23946    -14.380355    -14.380254
   0.25045    -14.379485    -14.379384
   0.26145    -14.378103    -14.378002
   0.27245    -14.376386    -14.376284
   0.28344    -14.374935    -14.374833
   0.29444    -14.376183    -14.376076
   0.30544    -14.384234    -14.384124
   0.31643    -14.397012    -14.396902
   0.32743    -14.411706    -14.411598
   0.33843    -14.427037    -14.426931
   0.34942    -14.441367    -14.441263
   0.36042    -14.449464    -14.449366
   0.36042    -14.449464    -14.449366
   0.38245    -14.439800    -14.439698
   0.40447    -14.421535    -14.421433
   0.42650    -14.404151    -14.404050
   0.44852    -14.388388    -14.388287
   0.47055    -14.374029    -14.373930
   0.49258    -14.360017    -14.359918
   0.51460    -14.346064    -14.345966
   0.53663    -14.332426    -14.332329
   0.55865    -14.319418    -14.319323
   0.58068    -14.307403    -14.307312
   0.60271    -14.298833    -14.298740
   0.62473    -14.297447    -14.297344
 
# Band-Index   10
   0.62473    -14.289590    -14.289486
   0.60271    -14.292895    -14.292779
   0.58068    -14.295741    -14.295620
   0.55865    -14.301959    -14.301842
   0.53663    -14.314644    -14.314535
   0.51460    -14.329911    -14.329805
   0.49258    -14.345725    -14.345620
   0.47055    -14.360976    -14.360873
   0.44852    -14.373352    -14.373250
   0.42650    -14.377210    -14.377109
   0.40447    -14.367439    -14.367338
   0.38245    -14.352156    -14.352057
   0.36042    -14.346234    -14.346134
   0.36042    -14.346234    -14.346134
   0.34942    -14.346889    -14.346789
   0.33843    -14.349603    -14.349503
   0.32743    -14.353291    -14.353190
   0.31643    -14.357041    -14.356940
   0.30544    -14.359785    -14.359682
   0.29444    -14.359007    -14.358900
   0.28344    -14.353084    -14.352969
   0.27245    -14.346550    -14.346431
   0.26145    -14.341873    -14.341750
   0.25045    -14.339137    -14.339012
   0.23946    -14.337801    -14.337675
   0.22846    -14.337410    -14.337283
   0.22846    -14.337410    -14.337283
   0.20942    -14.323593    -14.323473
   0.19038    -14.302231    -14.302118
   0.17134    -14.289291    -14.289187
   0.15231    -14.286025    -14.285922
   0.13327    -14.285684    -14.285581
   0.11423    -14.286434    -14.286330
   0.09519    -14.287901    -14.287795
   0.07615    -14.289827    -14.289719
   0.05711    -14.291918    -14.291807
   0.03808    -14.293822    -14.293706
   0.01904    -14.293095    -14.292978
   0.00000    -14.289590    -14.289486
 
# Band-Index   11
   0.00000    -14.252068    -14.251968
   0.01904    -14.251368    -14.251267
   0.03808    -14.257180    -14.257081
   0.05711    -14.264498    -14.264400
   0.07615    -14.268835    -14.268736
   0.09519    -14.270565    -14.270464
   0.11423    -14.270450    -14.270348
   0.13327    -14.269113    -14.269010
   0.15231    -14.267412    -14.267305
   0.17134    -14.268678    -14.268552
   0.19038    -14.275594    -14.275475
   0.20942    -14.278028    -14.277915
   0.22846    -14.278511    -14.278400
   0.22846    -14.278511    -14.278400
   0.23946    -14.279986    -14.279874
   0.25045    -14.283722    -14.283610
   0.26145    -14.288278    -14.288165
   0.27245    -14.292195    -14.292079
   0.28344    -14.294454    -14.294337
   0.29444    -14.294777    -14.294658
   0.30544    -14.293429    -14.293310
   0.31643    -14.290829    -14.290711
   0.32743    -14.287371    -14.287254
   0.33843    -14.283419    -14.283306
   0.34942    -14.279393    -14.279284
   0.36042    -14.275843    -14.275736
   0.36042    -14.275843    -14.275736
   0.38245    -14.271465    -14.271345
   0.40447    -14.262907    -14.262794
   0.42650    -14.260593    -14.260505
   0.44852    -14.263067    -14.262978
   0.47055    -14.266921    -14.266829
   0.49258    -14.271151    -14.271055
   0.51460    -14.275056    -14.274958
   0.53663    -14.277784    -14.277686
   0.55865    -14.277257    -14.277161
   0.58068    -14.269491    -14.269395
   0.60271    -14.257460    -14.257359
   0.62473    -14.252068    -14.251968
 
# Band-Index   12
   0.62473    -14.232090    -14.232006
   0.60271    -14.233720    -14.233637
   0.58068    -14.229528    -14.229442
   0.55865    -14.223791    -14.223700
   0.53663    -14.219313    -14.219217
   0.51460    -14.217154    -14.217052
   0.49258    -14.218069    -14.217960
   0.47055    -14.222749    -14.222634
   0.44852    -14.231644    -14.231524
   0.42650    -14.244207    -14.244089
   0.40447    -14.255718    -14.255629
