    # Energy          Mo           S          Si
   -14.03821    -1.13035    -6.31768    -0.00034
   -14.03521    -1.13639    -6.36741    -0.00035
   -14.03221    -1.09771    -6.18533    -0.00034
   -14.02921    -1.02280    -5.81180    -0.00033
   -14.02621    -0.98710    -5.70437    -0.00035
   -14.02321    -0.91162    -5.33470    -0.00034
   -14.02021    -0.83615    -4.96550    -0.00033
   -14.01721    -0.90105    -5.34206    -0.00035
   -14.01421    -0.90878    -5.43698    -0.00036
   -14.01121    -1.12077    -6.60732    -0.00042
   -14.00821    -1.28768    -7.54482    -0.00047
   -14.00521    -1.29287    -7.63885    -0.00049
   -14.00221    -1.29776    -7.73290    -0.00050
   -13.99921    -1.30227    -7.82676    -0.00052
   -13.99621    -1.30649    -7.92095    -0.00054
   -13.99321    -1.29996    -7.93512    -0.00055
   -13.99021    -1.29197    -7.93660    -0.00056
   -13.98721    -1.32097    -8.15324    -0.00058
   -13.98421    -1.35524    -8.40080    -0.00061
   -13.98121    -2.30158   -18.67046    -0.00220
   -13.97821    -1.77468   -13.05664    -0.00134
   -13.97521    -1.28881    -7.88043    -0.00054
   -13.97221    -1.33119    -8.18768    -0.00057
   -13.96921    -1.50032    -9.81428    -0.00080
   -13.96621    -1.62674   -10.49412    -0.00082
   -13.96321    -1.23118    -8.11687    -0.00066
   -13.96021    -1.95771   -13.37172    -0.00117
   -13.95721    -2.88549   -19.62253    -0.00171
   -13.95421    -3.01385   -20.63759    -0.00182
   -13.95121    -3.15977   -21.71993    -0.00192
   -13.94821    -2.94295   -20.16151    -0.00177
   -13.94521    -2.54007   -17.57971    -0.00157
   -13.94221    -1.54599    -9.48906    -0.00064
   -13.93921    -2.30679   -13.37875    -0.00075
   -13.93621    -1.36835    -9.04994    -0.00072
   -13.93321    -1.72191   -12.06896    -0.00108
   -13.93021    -1.84404   -13.47804    -0.00130
   -13.92721    -2.19378   -16.53230    -0.00167
   -13.92421    -2.33686   -18.15040    -0.00191
   -13.92121    -1.81627   -13.13598    -0.00124
   -13.91821    -1.90546   -13.27544    -0.00117
   -13.91521    -1.79569   -12.28047    -0.00104
   -13.91221    -1.63489   -11.06750    -0.00092
   -13.90921    -1.70065   -11.62541    -0.00098
   -13.90621    -2.00197   -14.15728    -0.00127
   -13.90321    -2.21500   -16.60648    -0.00164
   -13.90021    -2.16159   -16.50615    -0.00167
   -13.89721    -1.99519   -14.95696    -0.00147
   -13.89421    -1.94840   -14.46200    -0.00139
   -13.89121    -1.85915   -13.66602    -0.00129
   -13.88821    -1.93169   -14.32240    -0.00137
   -13.88521    -2.55767   -19.95899    -0.00205
   -13.88221    -2.05103   -14.96259    -0.00139
   -13.87921    -2.01523   -14.56327    -0.00133
   -13.87621    -2.03612   -14.69846    -0.00133
   -13.87321    -2.06082   -14.92371    -0.00136
   -13.87021    -2.08732   -15.25967    -0.00141
   -13.86721    -2.05670   -14.85954    -0.00134
   -13.86421    -2.07116   -14.91130    -0.00133
   -13.86121    -2.09645   -15.06978    -0.00134
   -13.85821    -2.15286   -15.44286    -0.00136
   -13.85521    -2.18655   -15.65579    -0.00137
   -13.85221    -2.20593   -15.71505    -0.00136
   -13.84921    -2.25411   -16.02718    -0.00138
   -13.84621    -2.25510   -15.94879    -0.00135
   -13.84321    -2.27351   -15.94274    -0.00133
   -13.84021    -2.32891   -16.27502    -0.00134
   -13.83721    -2.84502   -19.05518    -0.00144
   -13.83421    -2.89375   -19.31137    -0.00144
   -13.83121    -2.99030   -19.73754    -0.00143
   -13.82821    -2.64809   -17.80405    -0.00134
   -13.82521    -2.07039   -14.66735    -0.00123
   -13.82221    -2.16233   -15.38689    -0.00129
   -13.81921    -2.17860   -15.42909    -0.00128
   -13.81621    -2.27413   -16.15756    -0.00135
   -13.81321    -2.27414   -16.19018    -0.00135
   -13.81021    -2.30882   -16.48755    -0.00138
   -13.80721    -5.00843   -36.71323    -0.00326
   -13.80421    -2.32220   -16.42442    -0.00134
   -13.80121    -2.26722   -16.10471    -0.00133
   -13.79821    -2.20738   -15.77599    -0.00131
   -13.79521    -2.88740   -20.63116    -0.00169
   -13.79221    -2.71525   -19.23722    -0.00155
   -13.78921    -2.42047   -17.13267    -0.00138
   -13.78621    -2.52080   -17.86352    -0.00144
   -13.78321    -2.44781   -17.13896    -0.00135
   -13.78021    -2.45567   -17.01965    -0.00131
   -13.77721    -2.41453   -16.61403    -0.00125
   -13.77421    -2.08723   -14.76840    -0.00117
   -13.77121    -1.78556   -12.73324    -0.00102
   -13.76821    -1.54595   -11.00494    -0.00088
   -13.76521    -1.46836   -10.40691    -0.00082
   -13.76221    -1.40432    -9.91907    -0.00078
   -13.75921    -2.33652   -18.09588    -0.00166
   -13.75621    -2.25147   -15.99556    -0.00126
   -13.75321    -1.98032   -13.25327    -0.00092
   -13.75021    -2.03349   -13.17654    -0.00084
   -13.74721    -1.99194   -12.78950    -0.00079
   -13.74421    -1.95654   -12.54893    -0.00077
   -13.74121    -2.02381   -13.20276    -0.00084
   -13.73821    -2.22829   -14.70734    -0.00097
   -13.73521    -2.84840   -19.71681    -0.00145
   -13.73221    -3.41949   -23.87889    -0.00178
   -13.72921    -2.92457   -19.99041    -0.00142
   -13.72621    -2.37571   -15.86585    -0.00107
   -13.72321    -1.72458   -11.54707    -0.00078
   -13.72021    -2.02793   -13.40610    -0.00088
   -13.71721    -2.53743   -16.61055    -0.00106
   -13.71421    -2.63508   -17.42509    -0.00113
   -13.71121    -2.80581   -18.72835    -0.00124
   -13.70821    -3.20797   -21.39248    -0.00140
   -13.70521    -3.74494   -25.31301    -0.00171
   -13.70221    -3.50930   -23.59306    -0.00157
   -13.69921    -1.92191   -13.22898    -0.00092
   -13.69621    -1.13358    -8.34583    -0.00066
   -13.69321    -1.40753   -10.17922    -0.00078
   -13.69021    -2.87226   -19.51439    -0.00131
   -13.68721    -3.61098   -24.15523    -0.00156
   -13.68421    -3.40866   -22.95137    -0.00151
   -13.68121    -2.79881   -18.66609    -0.00119
   -13.67821    -2.63896   -17.72114    -0.00115
   -13.67521    -2.53251   -17.03743    -0.00111
   -13.67221    -2.36426   -15.83190    -0.00101
   -13.66921    -2.66959   -17.60095    -0.00108
   -13.66621    -2.82142   -18.60783    -0.00114
   -13.66321    -3.19710   -21.04282    -0.00128
   -13.66021    -2.62076   -17.87094    -0.00118
   -13.65721    -2.51494   -17.02719    -0.00111
   -13.65421    -2.50765   -16.89648    -0.00108
   -13.65121    -3.44266   -24.41485    -0.00175
   -13.64821    -2.53883   -17.25122    -0.00112
   -13.64521    -2.82721   -18.45033    -0.00108
   -13.64221    -2.79844   -18.12352    -0.00103
   -13.63921    -2.86378   -18.48102    -0.00104
   -13.63621    -2.79529   -18.03770    -0.00101
   -13.63321    -2.46347   -15.89267    -0.00089
   -13.63021    -2.19649   -14.31267    -0.00082
   -13.62721    -2.31536   -15.20298    -0.00089
   -13.62421    -2.33049   -15.23523    -0.00088
   -13.62121    -2.44557   -15.93407    -0.00091
   -13.61821    -2.68659   -17.53699    -0.00100
   -13.61521    -3.22477   -21.16368    -0.00122
   -13.61221    -3.00105   -19.55233    -0.00110
   -13.60921    -3.21796   -20.95482    -0.00117
   -13.60621    -3.30999   -21.60808    -0.00122
   -13.60321    -3.42737   -22.44579    -0.00127
   -13.60021    -3.55530   -23.34288    -0.00133
   -13.59721    -3.68425   -24.23968    -0.00138
   -13.59421    -4.23553   -27.65946    -0.00154
   -13.59121    -3.69244   -24.00090    -0.00131
   -13.58821    -3.76906   -24.92410    -0.00143
   -13.58521    -3.76074   -24.86610    -0.00142
   -13.58221    -3.97399   -26.49308    -0.00154
   -13.57921    -3.47580   -22.79523    -0.00127
   -13.57621    -3.21605   -21.03139    -0.00116
   -13.57321    -2.98929   -19.55000    -0.00107
   -13.57021    -2.98570   -19.56597    -0.00108
   -13.56721    -3.06592   -20.13428    -0.00111
   -13.56421    -2.75254   -18.16649    -0.00101
   -13.56121    -2.81107   -18.63816    -0.00105
   -13.55821    -2.47586   -15.98171    -0.00083
   -13.55521    -2.49290   -16.03282    -0.00083
   -13.55221    -2.56324   -16.39842    -0.00083
   -13.54921    -2.61636   -16.69078    -0.00084
   -13.54621    -3.59029   -23.71090    -0.00132
   -13.54321    -3.52546   -23.11375    -0.00126
   -13.54021    -3.28603   -21.32081    -0.00112
   -13.53721    -3.37757   -21.48721    -0.00106
   -13.53421    -3.13949   -19.94549    -0.00097
   -13.53121    -3.00252   -19.13765    -0.00093
   -13.52821    -3.03378   -19.35923    -0.00094
   -13.52521    -3.72660   -24.48773    -0.00130
   -13.52221    -3.32058   -21.71327    -0.00113
   -13.51921    -3.68900   -24.31200    -0.00129
   -13.51621    -3.51228   -22.93031    -0.00118
   -13.51321    -3.54203   -22.92107    -0.00114
   -13.51021    -3.62213   -23.23465    -0.00112
   -13.50721    -3.41912   -21.86858    -0.00104
   -13.50421    -4.02645   -26.04632    -0.00130
   -13.50121    -2.89836   -17.93622    -0.00076
