    # Energy          Mo           S          Si
   -14.25421     0.39834     2.01836     0.00009
   -14.25121     0.37443     1.89853     0.00008
   -14.24821     0.38202     1.93782     0.00009
   -14.24521     0.39104     1.98418     0.00009
   -14.24221     0.65830     3.34504     0.00015
   -14.23921     0.81435     4.14018     0.00018
   -14.23621     0.97040     4.93545     0.00022
   -14.23321     1.04780     5.33082     0.00024
   -14.23021     0.97634     4.96787     0.00022
   -14.22721     0.90486     4.60519     0.00020
   -14.22421     0.83340     4.24241     0.00019
   -14.22121     0.77591     3.95241     0.00017
   -14.21821     0.74415     3.79478     0.00017
   -14.21521     0.71647     3.65728     0.00016
   -14.21221     0.68909     3.52122     0.00015
   -14.20921     0.68917     3.52422     0.00015
   -14.20621     0.70090     3.58617     0.00016
   -14.20321     0.70051     3.58753     0.00016
   -14.20021     1.03055     5.27896     0.00023
   -14.19721     1.13994     5.84106     0.00025
   -14.19421     1.22583     6.28216     0.00027
   -14.19121     1.15486     5.91990     0.00026
   -14.18821     1.37236     7.03691     0.00030
   -14.18521     1.32548     6.79929     0.00029
   -14.18221     1.27866     6.56126     0.00028
   -14.17921     1.23183     6.32333     0.00027
   -14.17621     1.18502     6.08530     0.00026
   -14.17321     1.14099     5.86203     0.00025
   -14.17021     1.15756     5.94889     0.00025
   -14.16721     1.17413     6.03572     0.00026
   -14.16421     1.19068     6.12286     0.00026
   -14.16121     1.18679     6.10444     0.00026
   -14.15821     1.15917     5.96461     0.00025
   -14.15521     2.09095    10.76660     0.00046
   -14.15221     1.93190     9.95183     0.00042
   -14.14921     0.98243     5.06350     0.00021
   -14.14621     0.96076     4.95306     0.00021
   -14.14321     0.93912     4.84298     0.00020
   -14.14021     0.91742     4.73275     0.00020
   -14.13721     0.89581     4.62252     0.00020
   -14.13421     0.87411     4.51247     0.00019
   -14.13121     0.84272     4.35334     0.00018
   -14.12821     0.85606     4.42418     0.00019
   -14.12521     0.92749     4.79568     0.00020
   -14.12221     0.95184     4.92361     0.00021
   -14.11921     0.97617     5.05125     0.00021
   -14.11621     1.00047     5.17899     0.00022
   -14.11321     1.02478     5.30713     0.00022
   -14.11021     1.04912     5.43489     0.00023
   -14.10721     1.09652     5.68385     0.00024
   -14.10421     1.18064     6.12345     0.00025
   -14.10121     1.21384     6.29676     0.00026
   -14.09821     1.22907     6.37772     0.00026
   -14.09521     1.24434     6.45798     0.00027
   -14.09221     1.25547     6.55651     0.00028
   -14.08921     1.09160     5.74455     0.00025
   -14.08621     1.09851     5.80354     0.00026
   -14.08321     1.09809     5.81727     0.00026
   -14.08021     1.09123     5.79584     0.00026
   -14.07721     1.07351     5.71763     0.00026
   -14.07421     1.03397     5.53350     0.00026
   -14.07121     0.98741     5.31482     0.00025
   -14.06821     0.94075     5.09593     0.00025
   -14.06521     0.89589     4.88679     0.00025
   -14.06221     0.89781     4.91797     0.00025
   -14.05921     0.90560     4.97958     0.00026
   -14.05621     0.92084     5.07981     0.00027
   -14.05321     0.94887     5.24737     0.00028
   -14.05021     1.10606     6.11740     0.00032
   -14.04721     1.11219     6.16735     0.00033
   -14.04421     1.11826     6.21720     0.00033
   -14.04121     1.12430     6.26723     0.00034
   -14.03821     1.13036     6.31717     0.00034
   -14.03521     1.13636     6.36720     0.00035
   -14.03221     1.09811     6.18759     0.00034
   -14.02921     1.02322     5.81300     0.00033
   -14.02621     0.98750     5.70634     0.00035
   -14.02321     0.91202     5.33712     0.00034
   -14.02021     0.83655     4.96738     0.00033
   -14.01721     0.90103     5.34138     0.00035
   -14.01421     0.90876     5.43652     0.00036
   -14.01121     1.11949     6.60026     0.00042
   -14.00821     1.28765     7.54442     0.00047
   -14.00521     1.29285     7.63816     0.00049
   -14.00221     1.29774     7.73281     0.00050
   -13.99921     1.30223     7.82617     0.00052
   -13.99621     1.30645     7.92035     0.00054
   -13.99321     1.30000     7.93503     0.00055
   -13.99021     1.29199     7.93661     0.00056
   -13.98721     1.32079     8.15213     0.00058
   -13.98421     1.35503     8.39968     0.00061
   -13.98121     2.30277    18.68287     0.00220
   -13.97821     1.77581    13.06896     0.00134
   -13.97521     1.28858     7.87831     0.00054
   -13.97221     1.33095     8.18596     0.00057
   -13.96921     1.50042     9.81478     0.00080
   -13.96621     1.60664    10.37282     0.00082
   -13.96321     1.22958     8.10748     0.00066
   -13.96021     1.95256    13.33377     0.00117
   -13.95721     2.88488    19.61779     0.00170
   -13.95421     3.01298    20.63132     0.00181
   -13.95121     3.16064    21.72680     0.00192
   -13.94821     2.94434    20.17026     0.00177
   -13.94521     2.54234    17.59503     0.00157
   -13.94221     1.54598     9.48865     0.00064
   -13.93921     2.29228    13.30354     0.00075
   -13.93621     1.36640     9.03391     0.00072
   -13.93321     1.72008    12.05316     0.00108
   -13.93021     1.84219    13.46164     0.00130
   -13.92721     2.19193    16.51599     0.00166
   -13.92421     2.33617    18.14230     0.00191
   -13.92121     1.81801    13.15196     0.00124
   -13.91821     1.90732    13.29183     0.00117
   -13.91521     1.79658    12.28663     0.00104
   -13.91221     1.63577    11.07428     0.00092
   -13.90921     1.69962    11.61695     0.00098
   -13.90621     2.00041    14.14339     0.00127
   -13.90321     2.21534    16.60695     0.00164
   -13.90021     2.16189    16.50680     0.00167
   -13.89721     1.99542    14.95936     0.00147
   -13.89421     1.94894    14.46652     0.00139
   -13.89121     1.85965    13.67015     0.00129
   -13.88821     1.92841    14.29314     0.00137
   -13.88521     2.55433    19.92912     0.00205
   -13.88221     2.05109    14.96289     0.00139
   -13.87921     2.01516    14.56276     0.00133
   -13.87621     2.03601    14.69744     0.00133
   -13.87321     2.06070    14.92181     0.00136
   -13.87021     2.08718    15.25788     0.00141
   -13.86721     2.05664    14.85923     0.00134
   -13.86421     2.07104    14.91048     0.00133
   -13.86121     2.09633    15.06896     0.00134
   -13.85821     2.15275    15.44184     0.00136
   -13.85521     2.18639    15.65457     0.00137
   -13.85221     2.20567    15.71352     0.00136
   -13.84921     2.25385    16.02575     0.00138
   -13.84621     2.25514    15.94948     0.00135
   -13.84321     2.27314    15.94030     0.00133
   -13.84021     2.32867    16.27338     0.00134
   -13.83721     2.84148    19.03631     0.00144
   -13.83421     2.89021    19.29231     0.00144
   -13.83121     2.99229    19.74867     0.00143
   -13.82821     2.64996    17.81448     0.00134
   -13.82521     2.06992    14.66312     0.00123
   -13.82221     2.16210    15.38447     0.00129
   -13.81921     2.17779    15.42243     0.00128
   -13.81621     2.27415    16.15776     0.00135
   -13.81321     2.27404    16.18937     0.00135
   -13.81021     2.30860    16.48584     0.00138
   -13.80721     5.00875    36.71506     0.00326
   -13.80421     2.32252    16.42626     0.00134
   -13.80121     2.26756    16.10615     0.00133
   -13.79821     2.20780    15.77815     0.00131
   -13.79521     2.88368    20.60413     0.00169
   -13.79221     2.71717    19.25147     0.00155
   -13.78921     2.42026    17.13194     0.00138
   -13.78621     2.52043    17.86168     0.00144
   -13.78321     2.44780    17.13954     0.00135
   -13.78021     2.45560    17.02002     0.00131
   -13.77721     2.41427    16.61356     0.00125
   -13.77421     2.08893    14.77969     0.00118
   -13.77121     1.78709    12.74378     0.00102
   -13.76821     1.54639    11.00838     0.00088
   -13.76521     1.46880    10.41034     0.00082
   -13.76221     1.40463     9.92099     0.00078
   -13.75921     2.35112    18.22251     0.00168
   -13.75621     2.25248    16.00507     0.00126
   -13.75321     1.98004    13.25359     0.00092
   -13.75021     2.03317    13.17685     0.00084
   -13.74721     1.99210    12.79081     0.00079
   -13.74421     1.95672    12.54996     0.00077
   -13.74121     2.02376    13.20247     0.00084
   -13.73821     2.22788    14.70322     0.00097
   -13.73521     2.84469    19.68923     0.00145
   -13.73221     3.41758    23.86629     0.00178
   -13.72921     2.92738    20.01112     0.00143
   -13.72621     2.37861    15.88770     0.00107
   -13.72321     1.72515    11.55023     0.00078
   -13.72021     2.02752    13.40288     0.00088
   -13.71721     2.53770    16.61122     0.00106
   -13.71421     2.63433    17.41904     0.00113
   -13.71121     2.80334    18.71219     0.00124
   -13.70821     3.20649    21.38244     0.00140
   -13.70521     3.74459    25.31240     0.00171
   -13.70221     3.51795    23.64818     0.00157
   -13.69921     1.93018    13.28402     0.00093
   -13.69621     1.13706     8.36625     0.00067
   -13.69321     1.39828    10.12122     0.00078
   -13.69021     2.86832    19.48956     0.00131
   -13.68721     3.60705    24.13021     0.00156
   -13.68421     3.41150    22.96978     0.00151
   -13.68121     2.79954    18.67087     0.00119
   -13.67821     2.63987    17.72556     0.00115
   -13.67521     2.53281    17.04055     0.00111
   -13.67221     2.36382    15.82991     0.00101
   -13.66921     2.66769    17.59064     0.00108
   -13.66621     2.81940    18.59472     0.00114
   -13.66321     3.19513    21.03024     0.00128
   -13.66021     2.62888    17.92919     0.00119
   -13.65721     2.51496    17.02818     0.00111
   -13.65421     2.50754    16.89636     0.00108
   -13.65121     3.44153    24.40510     0.00175
   -13.64821     2.53985    17.25970     0.00112
   -13.64521     2.82760    18.45384     0.00108
   -13.64221     2.79822    18.12248     0.00103
   -13.63921     2.86327    18.47767     0.00104
   -13.63621     2.79704    18.04916     0.00101
   -13.63321     2.46524    15.90355     0.00089
   -13.63021     2.19449    14.29735     0.00082
   -13.62721     2.31539    15.20437     0.00089
   -13.62421     2.33005    15.23306     0.00088
   -13.62121     2.44474    15.92887     0.00091
   -13.61821     2.68373    17.51774     0.00100
   -13.61521     3.22167    21.14377     0.00122
   -13.61221     2.99984    19.54490     0.00110
   -13.60921     3.21681    20.94749     0.00117
   -13.60621     3.30931    21.60432     0.00122
   -13.60321     3.42669    22.44161     0.00127
   -13.60021     3.55450    23.33801     0.00133
   -13.59721     3.68351    24.23490     0.00138
   -13.59421     4.23638    27.66504     0.00154
   -13.59121     3.69143    23.99333     0.00131
   -13.58821     3.76797    24.91582     0.00143
   -13.58521     3.75980    24.85863     0.00142
   -13.58221     3.97283    26.48451     0.00154
   -13.57921     3.47717    22.80475     0.00127
   -13.57621     3.21740    21.04091     0.00116
   -13.57321     2.99002    19.55588     0.00107
   -13.57021     2.98532    19.56334     0.00108
   -13.56721     3.06561    20.13106     0.00111
   -13.56421     2.75255    18.16521     0.00101
   -13.56121     2.81080    18.63516     0.00105
   -13.55821     2.47600    15.98273     0.00083
   -13.55521     2.49247    16.03119     0.00083
   -13.55221     2.56304    16.39609     0.00083
   -13.54921     2.61616    16.68896     0.00084
   -13.54621     3.58494    23.67273     0.00131
   -13.54321     3.52615    23.11969     0.00126
   -13.54021     3.28702    21.32807     0.00112
   -13.53721     3.37911    21.49706     0.00107
   -13.53421     3.14227    19.96223     0.00097
   -13.53121     3.00238    19.13595     0.00093
   -13.52821     3.03317    19.35479     0.00094
   -13.52521     3.72889    24.50396     0.00130
   -13.52221     3.32185    21.72255     0.00113
   -13.51921     3.69002    24.31967     0.00129
   -13.51621     3.51270    22.93371     0.00118
   -13.51321     3.54128    22.91659     0.00114
   -13.51021     3.62215    23.23572     0.00112
   -13.50721     3.41983    21.87352     0.00104
   -13.50421     4.03735    26.12406     0.00130
   -13.50121     2.89833    17.93641     0.00076
   -13.49821     2.96877    18.26741     0.00075
   -13.49521     3.30870    20.33747     0.00083
   -13.49221     3.74201    23.00626     0.00093
   -13.48921     4.18817    25.73507     0.00103
   -13.48621     4.57672    28.09284     0.00112
   -13.48321     5.07987    31.09973     0.00121
   -13.48021     4.85848    29.96495     0.00120
   -13.47721     4.51315    27.64584     0.00107
   -13.47421     4.42629    27.30280     0.00108
   -13.47121     4.91450    30.56748     0.00125
   -13.46821     3.93571    24.52695     0.00101
   -13.46521     3.35852    20.84228     0.00085
   -13.46221     4.14213    25.63359     0.00103
   -13.45921     3.39497    21.58529     0.00096
   -13.45621     3.12519    19.91511     0.00089
   -13.45321     3.16150    20.27159     0.00092
   -13.45021     3.01278    19.35458     0.00088
   -13.44721     4.28760    27.56647     0.00124
   -13.44421     3.51490    22.53422     0.00102
   -13.44121     3.87041    24.36809     0.00102
   -13.43821     4.66815    28.63424     0.00107
   -13.43521     3.54628    21.74406     0.00081
   -13.43221     4.71654    28.23290     0.00092
   -13.42921     3.20159    19.57958     0.00071
   -13.42621     2.99139    18.29967     0.00066
   -13.42321     3.00292    18.46858     0.00069
   -13.42021     3.01255    18.63729     0.00071
   -13.41721     3.06817    18.99468     0.00073
   -13.41421     3.05517    18.98725     0.00074
   -13.41121     3.93290    24.69832     0.00100
   -13.40821     5.30656    33.52694     0.00139
   -13.40521     5.87694    37.43679     0.00161
   -13.40221     4.48482    28.43218     0.00119
   -13.39921     4.76271    30.13286     0.00125
   -13.39621     5.25759    33.07764     0.00134
   -13.39321     5.07587    31.47657     0.00119
   -13.39021     5.20254    32.15336     0.00119
   -13.38721     4.92883    30.16695     0.00106
   -13.38421     6.99629    41.86799     0.00129
   -13.38121     8.12162    48.47269     0.00148
   -13.37821     4.79748    29.05915     0.00095
   -13.37521     4.10793    25.06259     0.00086
   -13.37221     4.80621    29.57864     0.00107
   -13.36921     4.88911    29.95734     0.00105
   -13.36621     4.73344    28.89022     0.00099
   -13.36321     5.32269    32.14348     0.00105
   -13.36021     5.50694    33.11768     0.00105
   -13.35721     5.64827    33.89317     0.00105
   -13.35421     5.67114    33.99912     0.00105
   -13.35121     9.57486    59.84496     0.00226
   -13.34821     6.72061    41.37200     0.00144
   -13.34521     6.16495    37.46482     0.00122
   -13.34221     5.31777    32.12478     0.00101
   -13.33921     5.40358    32.66858     0.00101
   -13.33621     6.49474    39.02198     0.00114
   -13.33321     5.57761    33.83698     0.00105
   -13.33021     7.70343    46.83150     0.00145
   -13.32721     3.76112    22.80104     0.00070
   -13.32421     4.49111    27.20480     0.00085
   -13.32121     4.70103    28.38037     0.00085
   -13.31821     4.79656    29.00270     0.00087
   -13.31521     6.17949    37.46447     0.00106
   -13.31221     6.52067    39.41497     0.00118
   -13.30921     6.60058    39.73089     0.00118
   -13.30621     6.97894    41.62378     0.00116
   -13.30321     6.09743    36.36515     0.00101
   -13.30021     5.05797    30.11033     0.00081
   -13.29721    17.31139   101.03536     0.00223
   -13.29421     7.19195    42.70742     0.00108
   -13.29121    13.86882    83.01048     0.00212
   -13.28821     9.91500    59.69350     0.00166
   -13.28521     4.64125    27.42621     0.00064
   -13.28221     6.60688    39.80067     0.00115
   -13.27921     5.34403    31.85232     0.00083
   -13.27621     5.40447    32.15801     0.00083
   -13.27321     5.46164    32.47062     0.00083
   -13.27021     5.70447    34.01075     0.00089
   -13.26721     5.31740    31.66426     0.00081
   -13.26421     6.13917    36.56111     0.00094
   -13.26121     5.71523    34.00315     0.00086
   -13.25821     6.75090    40.37305     0.00111
   -13.25521     6.22370    37.17970     0.00101
   -13.25221     6.18080    36.90722     0.00100
   -13.24921     6.32548    37.74434     0.00102
   -13.24621     6.08503    36.28195     0.00096
   -13.24321     6.03206    35.97192     0.00095
   -13.24021     6.13242    36.61368     0.00097
   -13.23721     6.36433    38.08718     0.00101
   -13.23421     9.88642    59.49278     0.00175
   -13.23121    10.70105    63.83951     0.00177
   -13.22821     7.32678    43.55723     0.00108
   -13.22521     6.10670    36.31962     0.00090
   -13.22221     5.98494    35.43804     0.00082
   -13.21921     6.80767    40.25557     0.00087
   -13.21621     4.98835    29.55036     0.00065
   -13.21321     5.37436    31.82270     0.00073
   -13.21021     5.61288    33.29326     0.00083
   -13.20721     6.22471    36.86073     0.00091
   -13.20421     5.17734    30.88342     0.00084
   -13.20121     4.43497    26.25251     0.00060
   -13.19821     4.30539    25.31971     0.00056
   -13.19521     6.70951    39.34880     0.00084
   -13.19221     3.61750    21.24987     0.00048
   -13.18921     3.50893    20.64783     0.00048
   -13.18621     5.08526    29.96014     0.00064
   -13.18321     6.54765    38.62694     0.00086
